id,LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PATHOLOGICAL_COMPLEXITY,PERCENT_COMMENTS,LOC_TOTAL,Defective
1,0,7,5,0,0,0,4,1,0,0,4,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,91,0.04,0,0,0,0,100,1,0,100,N
2,0,125,11,0,0,0,63,1,0,0,56,0.89,462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,401,0.13,0,0,0,0,489,1,0,489,Y
3,0,23,2,0,0,0,12,1,0,0,2,0.17,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,54,0.19,0,0,0,0,62,1,0,62,Y
4,0,3,8,0,0,0,2,1,0,0,2,1,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,37,0.03,0,0,0,0,58,1,0,58,Y
5,0,1,1,0,0,0,1,1,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,613,1,0,613,N
6,0,9,2,0,0,0,5,1,0,0,2,0.4,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,26,0.12,0,0,0,0,41,1,0,41,Y
7,0,1,3,0,0,0,1,1,0,0,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0.03,0,0,0,0,36,1,0,36,Y
8,0,1,1,0,0,0,1,1,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0.01,0,0,0,0,81,1,0,81,N
9,0,29,9,0,0,0,15,1,0,0,14,0.93,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,120,0.1,0,0,0,0,145,1,0,145,Y
10,0,3,8,0,0,0,2,1,0,0,2,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,38,0.03,0,0,0,0,58,1,0,58,Y
11,0,1,1,0,0,0,1,0,0,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,269,1,0,269,N
12,0,3,15,0,0,0,2,0,0,0,2,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,33,0.01,0,0,0,0,181,1,0,181,N
13,0,1,3,0,0,0,1,0,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0.06,0,0,0,0,18,1,0,18,N
14,0,35,2,0,0,0,18,0,0,0,2,0.11,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,78,0.23,0,0,0,0,80,1,0,80,N
15,0,467,19,0,0,0,234,0,0,0,139,0.59,1871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,0.13,0,0,0,0,1810,1,0,1810,Y
16,0,27,9,0,0,0,14,0,0,0,10,0.71,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,94,0.15,0,0,0,0,91,1,0,91,Y
17,0,5,10,0,0,0,3,0,0,0,3,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,49,0.04,0,0,0,0,77,1,0,77,Y
18,0,1,1,0,0,0,1,0,0,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,2064,1,0,2064,N
19,0,13,2,0,0,0,7,0,0,0,2,0.29,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,34,0.15,0,0,0,0,47,1,0,47,Y
